title;system;thumbnail
Bakuretsu Senshi Warrior (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bakuretsu%20Senshi%20Warrior%20(Japan).png
"Balloon Kid (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Balloon%20Kid%20(USA,%20Europe).png"
Bamse (Sweden);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bamse%20(Sweden).png
Banishing Racer (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Banishing%20Racer%20(Japan).png
"Barbie - Game Girl (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Barbie%20-%20Game%20Girl%20(USA,%20Europe).png"
Bart no Survival Camp (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bart%20no%20Survival%20Camp%20(Japan).png
"Bart Simpson's Escape from Camp Deadly (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bart%20Simpson's%20Escape%20from%20Camp%20Deadly%20(USA,%20Europe).png"
Baseball (World);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Baseball%20(World).png
Baseball Kids (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Baseball%20Kids%20(Japan).png
Bases Loaded (USA);gb;
Bass Fishing Tatsujin Techou (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bass%20Fishing%20Tatsujin%20Techou%20(Japan).png
"Bataille Navale (France) (En,Fr,De,Es)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bataille%20Navale%20(France)%20(En,Fr,De,Es).png"
Batman - Return of the Joker (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20-%20Return%20of%20the%20Joker%20(Japan).png
"Batman - Return of the Joker (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20-%20Return%20of%20the%20Joker%20(USA,%20Europe).png"
"Batman - The Animated Series (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20-%20The%20Animated%20Series%20(USA,%20Europe).png"
Batman - The Video Game (World);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20-%20The%20Video%20Game%20(World).png
Batman Forever (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20Forever%20(Japan).png
"Batman Forever (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Batman%20Forever%20(USA,%20Europe).png"
Battle Arena Toshinden (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Arena%20Toshinden%20(Europe)%20(SGB%20Enhanced).png
Battle Arena Toshinden (USA) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Arena%20Toshinden%20(USA)%20(SGB%20Enhanced).png
Battle Bull (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Bull%20(Japan).png
Battle Bull (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Bull%20(USA).png
Battle Crusher (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Crusher%20(Japan)%20(SGB%20Enhanced).png
Battle Dodge Ball (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Dodge%20Ball%20(Japan).png
Battle of Kingdom (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20of%20Kingdom%20(Japan).png
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20of%20Olympus,%20The%20(Europe)%20(En,Fr,De,Es,It).png"
